Date,Deviations
01.07.2017,124
01.07.2017,87.5
01.07.2017,34.25
01.07.2017,21.5
01.07.2017,87.5
01.07.2017,86.5
01.07.2017,97.5
01.07.2017,130.25
01.07.2017,80.25
01.07.2017,12.25
01.07.2017,13.5
01.07.2017,20.75
01.07.2017,97
01.07.2017,41
01.07.2017,30.75
01.07.2017,92
01.07.2017,124.75
01.07.2017,37.75
01.07.2017,1.25
01.07.2017,-72.75
01.07.2017,-87.5
01.07.2017,-94.25
01.07.2017,-128.5
01.07.2017,-123.5
01.07.2017,-45.75
01.07.2017,-39
01.07.2017,-81.75
01.07.2017,-15
01.07.2017,-76.25
01.07.2017,-150
01.07.2017,-284.5
01.07.2017,-357
01.07.2017,-300.25
01.07.2017,-286.5
01.07.2017,-342.5
01.07.2017,-345.5
01.07.2017,-383.25
01.07.2017,-386.25
01.07.2017,-404
01.07.2017,-399
01.07.2017,-383
01.07.2017,-332
01.07.2017,-312.75
01.07.2017,-417.75
01.07.2017,-386
01.07.2017,-425
01.07.2017,-511.5
01.07.2017,-288.75
01.07.2017,-478.25
01.07.2017,-545.5
01.07.2017,-437
01.07.2017,-404.5
01.07.2017,-278.75
01.07.2017,-364.25
01.07.2017,-399.5
01.07.2017,-344
01.07.2017,-322
01.07.2017,-331.75
01.07.2017,-329.75
01.07.2017,-426.5
01.07.2017,-554.25
01.07.2017,-411.25
01.07.2017,-299.75
01.07.2017,-154.25
01.07.2017,-223.75
01.07.2017,-364
01.07.2017,-330.5
01.07.2017,-335.25
01.07.2017,-356.75
01.07.2017,-292.5
01.07.2017,-262.25
01.07.2017,-233.25
01.07.2017,-165.25
01.07.2017,-328.5
01.07.2017,-342.5
01.07.2017,-354.25
01.07.2017,-430.5
01.07.2017,-493.25
01.07.2017,-376.5
01.07.2017,-289.25
01.07.2017,-442.5
01.07.2017,-427.25
01.07.2017,-296.75
01.07.2017,-377.25
01.07.2017,-221
01.07.2017,-311.75
01.07.2017,-254.75
01.07.2017,-358.5
01.07.2017,-361.75
01.07.2017,-439.5
01.07.2017,-500.75
01.07.2017,-450.5
01.07.2017,-377.25
01.07.2017,-429.5
01.07.2017,-459
01.07.2017,-361.25
02.07.2017,-385
02.07.2017,-419.75
02.07.2017,-491.75
02.07.2017,-496.75
02.07.2017,-494.25
02.07.2017,-419.75
02.07.2017,-358.25
02.07.2017,-336.25
02.07.2017,-451.5
02.07.2017,-375.75
02.07.2017,-401.25
02.07.2017,-366.25
02.07.2017,-430.75
02.07.2017,-438.5
02.07.2017,-405.75
02.07.2017,-386.25
02.07.2017,-399
02.07.2017,-412.5
02.07.2017,-429.5
02.07.2017,-528.75
02.07.2017,-400.25
02.07.2017,-448.25
02.07.2017,-455.75
02.07.2017,-439.5
02.07.2017,-407.75
02.07.2017,-455.5
02.07.2017,-418.5
02.07.2017,-419
02.07.2017,-402.25
02.07.2017,-401.25
02.07.2017,-458
02.07.2017,-496.25
02.07.2017,-502.75
02.07.2017,-463.5
02.07.2017,-478.75
02.07.2017,-415.25
02.07.2017,-422.25
02.07.2017,-480.5
02.07.2017,-498.5
02.07.2017,-495.5
02.07.2017,-564
02.07.2017,-626
02.07.2017,-553.25
02.07.2017,-534.75
02.07.2017,-595
02.07.2017,-561.25
02.07.2017,-536.5
02.07.2017,-397
02.07.2017,-386.75
02.07.2017,-502.5
02.07.2017,-504.25
02.07.2017,-463.25
02.07.2017,-314.75
02.07.2017,-388.25
02.07.2017,-387.75
02.07.2017,-237.75
02.07.2017,-322.25
02.07.2017,-208.75
02.07.2017,-261.25
02.07.2017,-321.5
02.07.2017,-328.75
02.07.2017,-251
02.07.2017,-323
02.07.2017,-267
02.07.2017,-478.25
02.07.2017,-600.75
02.07.2017,-488.25
02.07.2017,-295.75
02.07.2017,-321
02.07.2017,-386.25
02.07.2017,-388.25
02.07.2017,-311.5
02.07.2017,-290.75
02.07.2017,-446.5
02.07.2017,-499.75
02.07.2017,-389
02.07.2017,-324.75
02.07.2017,-334
02.07.2017,-371
02.07.2017,-301
02.07.2017,-342.75
02.07.2017,-342.75
02.07.2017,-222.25
02.07.2017,-313.25
02.07.2017,-132.75
02.07.2017,-225.25
02.07.2017,-210.5
02.07.2017,-287.25
02.07.2017,-165.25
02.07.2017,-133
02.07.2017,-121.25
02.07.2017,-67.5
02.07.2017,-78.25
02.07.2017,-147.75
02.07.2017,-70.75
02.07.2017,-52
03.07.2017,-111
03.07.2017,-90.75
03.07.2017,-113.25
03.07.2017,-95.75
03.07.2017,-107.5
03.07.2017,-86
03.07.2017,-28.5
03.07.2017,-25.75
03.07.2017,-106
03.07.2017,-38.5
03.07.2017,-44.75
03.07.2017,3
03.07.2017,-13.25
03.07.2017,12.75
03.07.2017,-3
03.07.2017,-12.75
03.07.2017,-52
03.07.2017,-84.25
03.07.2017,-139.25
03.07.2017,-148
03.07.2017,-169.75
03.07.2017,-186.75
03.07.2017,-204.25
03.07.2017,-189
03.07.2017,-169.75
03.07.2017,-162.75
03.07.2017,-138.5
03.07.2017,-75.5
03.07.2017,-77.25
03.07.2017,-79.5
03.07.2017,-144.5
03.07.2017,-184.5
03.07.2017,-246
03.07.2017,-150.5
03.07.2017,-110
03.07.2017,-132.75
03.07.2017,-84.5
03.07.2017,-128.5
03.07.2017,-47
03.07.2017,-100.75
03.07.2017,-128
03.07.2017,-110
03.07.2017,-79.25
03.07.2017,-48.25
03.07.2017,34.5
03.07.2017,69.5
03.07.2017,157.25
03.07.2017,124.75
03.07.2017,288
03.07.2017,365
03.07.2017,208
03.07.2017,444.5
03.07.2017,121.75
03.07.2017,316.25
03.07.2017,353.75
03.07.2017,165.5
03.07.2017,204.5
03.07.2017,248.5
03.07.2017,305.5
03.07.2017,216.5
03.07.2017,320.5
03.07.2017,236.75
03.07.2017,132.25
03.07.2017,215.5
03.07.2017,353.25
03.07.2017,365.25
03.07.2017,313.5
03.07.2017,51.75
03.07.2017,112.5
03.07.2017,115.25
03.07.2017,266.5
03.07.2017,273.75
03.07.2017,102.75
03.07.2017,157.75
03.07.2017,208.25
03.07.2017,168.25
03.07.2017,255
03.07.2017,262.25
03.07.2017,256.25
03.07.2017,143.75
03.07.2017,190.75
03.07.2017,158
03.07.2017,61.25
03.07.2017,75.5
03.07.2017,-126.75
03.07.2017,-178.25
03.07.2017,-198.75
03.07.2017,68.5
03.07.2017,-9
03.07.2017,-75.25
03.07.2017,-37
03.07.2017,-147.25
03.07.2017,-153.5
03.07.2017,-208.25
03.07.2017,-122.25
03.07.2017,-166.25
04.07.2017,-194.5
04.07.2017,-216.25
04.07.2017,-198.25
04.07.2017,-239.75
04.07.2017,-193.25
04.07.2017,-180.5
04.07.2017,-236.25
04.07.2017,-126
04.07.2017,-215
04.07.2017,-288.25
04.07.2017,-298.75
04.07.2017,-277
04.07.2017,-193.5
04.07.2017,-238
04.07.2017,-259.25
04.07.2017,-140.25
04.07.2017,-144
04.07.2017,-182
04.07.2017,-207.75
04.07.2017,-195.25
04.07.2017,-130.5
04.07.2017,-159.5
04.07.2017,-144.5
04.07.2017,-258
04.07.2017,-211.75
04.07.2017,-110
04.07.2017,-73.5
04.07.2017,-61.25
04.07.2017,-110.75
04.07.2017,-182
04.07.2017,-156.75
04.07.2017,-81.5
04.07.2017,-47
04.07.2017,-94.75
04.07.2017,-24.75
04.07.2017,3.5
04.07.2017,-6
04.07.2017,17.25
04.07.2017,-8.5
04.07.2017,48.75
04.07.2017,3
04.07.2017,-30.5
04.07.2017,89
04.07.2017,56
04.07.2017,48.75
04.07.2017,114.5
04.07.2017,118.25
04.07.2017,257.5
04.07.2017,236.5
04.07.2017,235
04.07.2017,142
04.07.2017,157
04.07.2017,129.75
04.07.2017,226.5
04.07.2017,188.75
04.07.2017,260
04.07.2017,289
04.07.2017,243.25
04.07.2017,256.5
04.07.2017,211.75
04.07.2017,127.75
04.07.2017,149.25
04.07.2017,59
04.07.2017,-30.5
04.07.2017,23.75
04.07.2017,-73
04.07.2017,-100.5
04.07.2017,1.75
04.07.2017,97
04.07.2017,37.5
04.07.2017,-8
04.07.2017,39
04.07.2017,-31.75
04.07.2017,-108.75
04.07.2017,-67
04.07.2017,-149.75
04.07.2017,-114.75
04.07.2017,-169
04.07.2017,-183.5
04.07.2017,-92.5
04.07.2017,-133.5
04.07.2017,-153.75
04.07.2017,-114
04.07.2017,-225.25
04.07.2017,-67.5
04.07.2017,-125.5
04.07.2017,-61
04.07.2017,-81.5
04.07.2017,-24
04.07.2017,-20.5
04.07.2017,-22.75
04.07.2017,-16.5
04.07.2017,-13.5
04.07.2017,-41
04.07.2017,-69.25
04.07.2017,-82.5
05.07.2017,161
05.07.2017,122.75
05.07.2017,153.5
05.07.2017,200
05.07.2017,204.75
05.07.2017,192
05.07.2017,217.5
05.07.2017,187.75
05.07.2017,107
05.07.2017,125.25
05.07.2017,142
05.07.2017,88.5
05.07.2017,119.25
05.07.2017,75.25
05.07.2017,130
05.07.2017,149.25
05.07.2017,144
05.07.2017,153.25
05.07.2017,200
05.07.2017,176.5
05.07.2017,181
05.07.2017,154.75
05.07.2017,196.5
05.07.2017,215
05.07.2017,264.25
05.07.2017,217
05.07.2017,164.75
05.07.2017,236.75
05.07.2017,314.75
05.07.2017,272.25
05.07.2017,276.25
05.07.2017,291.75
05.07.2017,340.75
05.07.2017,276.25
05.07.2017,255.25
05.07.2017,317.5
05.07.2017,286.5
05.07.2017,365.75
05.07.2017,360.25
05.07.2017,462.5
05.07.2017,593.25
05.07.2017,519.25
05.07.2017,520.25
05.07.2017,477.25
05.07.2017,417.25
05.07.2017,451.5
05.07.2017,480
05.07.2017,679.75
05.07.2017,527.75
05.07.2017,426.75
05.07.2017,455.75
05.07.2017,481.5
05.07.2017,458.5
05.07.2017,394.5
05.07.2017,404.5
05.07.2017,539.5
05.07.2017,583
05.07.2017,747
05.07.2017,696.75
05.07.2017,531.5
05.07.2017,425.5
05.07.2017,510.5
05.07.2017,494.75
05.07.2017,424.25
05.07.2017,399
05.07.2017,272
05.07.2017,238.75
05.07.2017,278.75
05.07.2017,260
05.07.2017,277
05.07.2017,141.25
05.07.2017,135.75
05.07.2017,237
05.07.2017,177
05.07.2017,164.25
05.07.2017,142.25
05.07.2017,77.25
05.07.2017,124
05.07.2017,129.75
05.07.2017,156
05.07.2017,77.25
05.07.2017,47.5
05.07.2017,117.5
05.07.2017,62.5
05.07.2017,164.5
05.07.2017,106.75
05.07.2017,111.75
05.07.2017,190
05.07.2017,336.25
05.07.2017,367.25
05.07.2017,333
05.07.2017,361.25
05.07.2017,431.25
05.07.2017,392.5
05.07.2017,374.75
05.07.2017,353.75
06.07.2017,360.75
06.07.2017,324.5
06.07.2017,320.5
06.07.2017,341.5
06.07.2017,366
06.07.2017,375.75
06.07.2017,360.5
06.07.2017,411.5
06.07.2017,423.75
06.07.2017,416
06.07.2017,398.5
06.07.2017,399
06.07.2017,400.5
06.07.2017,414.25
06.07.2017,353.25
06.07.2017,319.75
06.07.2017,362.25
06.07.2017,422.5
06.07.2017,385.75
06.07.2017,391.75
06.07.2017,346.25
06.07.2017,323.25
06.07.2017,287.75
06.07.2017,273.75
06.07.2017,301
06.07.2017,292.5
06.07.2017,281
06.07.2017,221.5
06.07.2017,182.75
06.07.2017,291.25
06.07.2017,305.5
06.07.2017,282.25
06.07.2017,218.5
06.07.2017,305.5
06.07.2017,416.25
06.07.2017,450
06.07.2017,313.75
06.07.2017,397.25
06.07.2017,478
06.07.2017,514.75
06.07.2017,617
06.07.2017,642
06.07.2017,708.5
06.07.2017,785.75
06.07.2017,727.5
06.07.2017,534.25
06.07.2017,563.25
06.07.2017,706.75
06.07.2017,569.5
06.07.2017,537
06.07.2017,583.75
06.07.2017,588.5
06.07.2017,737.75
06.07.2017,720.75
06.07.2017,691.25
06.07.2017,758.25
06.07.2017,747.75
06.07.2017,830.75
06.07.2017,891.75
06.07.2017,800.5
06.07.2017,793
06.07.2017,943.25
06.07.2017,950
06.07.2017,950.25
06.07.2017,836.5
06.07.2017,812.5
06.07.2017,724.5
06.07.2017,781.75
06.07.2017,760
06.07.2017,695
06.07.2017,614.75
06.07.2017,631.5
06.07.2017,716.25
06.07.2017,615
06.07.2017,653.75
06.07.2017,658.25
06.07.2017,641.75
06.07.2017,661.75
06.07.2017,669.5
06.07.2017,612.75
06.07.2017,553
06.07.2017,527
06.07.2017,423.75
06.07.2017,460
06.07.2017,427.5
06.07.2017,394.5
06.07.2017,461.75
06.07.2017,373
06.07.2017,436.25
06.07.2017,409
06.07.2017,497
06.07.2017,550.5
06.07.2017,402.25
06.07.2017,393.25
06.07.2017,464
06.07.2017,454.5
07.07.2017,290.75
07.07.2017,227.75
07.07.2017,195.25
07.07.2017,251.75
07.07.2017,213
07.07.2017,288.25
07.07.2017,354.5
07.07.2017,412.25
07.07.2017,328.5
07.07.2017,519.75
07.07.2017,528.75
07.07.2017,553
07.07.2017,470.25
07.07.2017,486.75
07.07.2017,466.5
07.07.2017,416.5
07.07.2017,346.75
07.07.2017,273.75
07.07.2017,248.5
07.07.2017,263.25
07.07.2017,279.75
07.07.2017,353.25
07.07.2017,306.25
07.07.2017,336
07.07.2017,410.75
07.07.2017,493.25
07.07.2017,535
07.07.2017,585.75
07.07.2017,600.75
07.07.2017,554
07.07.2017,544.5
07.07.2017,536.25
07.07.2017,512.5
07.07.2017,511.75
07.07.2017,498.25
07.07.2017,540.5
07.07.2017,459.75
07.07.2017,620
07.07.2017,690.25
07.07.2017,760.25
07.07.2017,664.25
07.07.2017,605.75
07.07.2017,555
07.07.2017,614
07.07.2017,594.5
07.07.2017,690.25
07.07.2017,737.75
07.07.2017,685.75
07.07.2017,484.25
07.07.2017,461.25
07.07.2017,407.5
07.07.2017,404.75
07.07.2017,547.25
07.07.2017,468.75
07.07.2017,451
07.07.2017,520.75
07.07.2017,627
07.07.2017,759.25
07.07.2017,777.75
07.07.2017,727.5
07.07.2017,702.5
07.07.2017,843.5
07.07.2017,878.5
07.07.2017,806.75
07.07.2017,777.25
07.07.2017,612.25
07.07.2017,535
07.07.2017,590
07.07.2017,636.75
07.07.2017,677.25
07.07.2017,659.25
07.07.2017,723.5
07.07.2017,724.25
07.07.2017,591.25
07.07.2017,507.25
07.07.2017,550
07.07.2017,416.75
07.07.2017,430.5
07.07.2017,374
07.07.2017,316.75
07.07.2017,180
07.07.2017,200.75
07.07.2017,318.75
07.07.2017,307
07.07.2017,258.5
07.07.2017,242.75
07.07.2017,274.75
07.07.2017,185
07.07.2017,243
07.07.2017,281
07.07.2017,227.75
07.07.2017,252.75
07.07.2017,233.25
07.07.2017,306.75
07.07.2017,382
07.07.2017,332.75
08.07.2017,351
08.07.2017,424.5
08.07.2017,416
08.07.2017,398.5
08.07.2017,419.5
08.07.2017,360.75
08.07.2017,336.25
08.07.2017,288.25
08.07.2017,344
08.07.2017,469
08.07.2017,406.5
08.07.2017,359
08.07.2017,333.5
08.07.2017,359
08.07.2017,402.5
08.07.2017,370.25
08.07.2017,348
08.07.2017,379.75
08.07.2017,388
08.07.2017,368
08.07.2017,344.75
08.07.2017,284.75
08.07.2017,233.25
08.07.2017,238.5
08.07.2017,424
08.07.2017,415.5
08.07.2017,476
08.07.2017,396
08.07.2017,542.25
08.07.2017,495
08.07.2017,498.5
08.07.2017,500.75
08.07.2017,439.75
08.07.2017,479.5
08.07.2017,486
08.07.2017,556.5
08.07.2017,622
08.07.2017,500
08.07.2017,488.25
08.07.2017,484.75
08.07.2017,372.25
08.07.2017,419.75
08.07.2017,442.25
08.07.2017,491.5
08.07.2017,460.75
08.07.2017,473.75
08.07.2017,423.5
08.07.2017,511.25
08.07.2017,453
08.07.2017,343.75
08.07.2017,349.25
08.07.2017,289.75
08.07.2017,341.75
08.07.2017,194.5
08.07.2017,226.25
08.07.2017,374.75
08.07.2017,384.25
08.07.2017,525
08.07.2017,580.25
08.07.2017,531.75
08.07.2017,527.5
08.07.2017,617
08.07.2017,574.25
08.07.2017,423.25
08.07.2017,375.75
08.07.2017,166.25
08.07.2017,126
08.07.2017,219.25
08.07.2017,223.75
08.07.2017,209.25
08.07.2017,262.5
08.07.2017,224.5
08.07.2017,272.75
08.07.2017,98.75
08.07.2017,200
08.07.2017,136.25
08.07.2017,92.25
08.07.2017,101.25
08.07.2017,-20.75
08.07.2017,135
08.07.2017,47.25
08.07.2017,-44
08.07.2017,55.25
08.07.2017,-72
08.07.2017,95.75
08.07.2017,-26.25
08.07.2017,-37.5
08.07.2017,-148.25
